"confirmation","gender","borninus","ethnicity",politics,age,zipcode
"3a2a6bd9aa2b6709e9e43a9c8fe0e8","male","","",2,54,22554
"7b911e595e1e1ae4fb864d67d8b756","female","yes","caucasian",6,31,14605
"2acb41c95c059a9b3b6e9f15e7c1f1","female","yes","caucasian",6,43,22044
"103e2e2768097e53e80025b0718dd0","female","yes","caucasian",7,35,30318
"edd1f2418d25403dbdc56b985bac7c","male","yes","caucasian",7,61,14820
"fcd19dd04bf1a62805a3110906d6f5","male","yes","caucasian",6,30,10025
"c9549a7a780983d0c7574c66dbc273","male","yes","caucasian",7,31,90019
"01a122c10e6a882f7b7ddea6e71a2e","male","yes","caucasian",3,22,75201
"6afcf60f3db104d1d629dc9c0d39d1","male","yes","caucasian",6,35,94117
"71bce7410f4b797eeba4d0fc6f1550","male","yes","caucasian",7,54,5301
"fe34f7ddc3e3ad2fa18637d000cc5c","male","yes","caucasian",7,38,94619
"5869c0616beaa4b62c933548b98c09","female","no","caucasian",5,49,61801
"c41e2c0b56406bc0b346c2e4faa667","male","no","caucasian",5,79,70518
"ec2cc3a748acff99d8e220e4025b80","male","yes","caucasian",6,31,7042
"57b1d5f8f71dc8df703e8c70bc5293","female","yes","caucasian",6,29,10027
"e27c61a2736141e70f580b5ad90265","male","yes","caucasian",6,37,20008
"a9c4363964f8eae86b91725d79f83d","female","yes","caucasian",6,35,95136
"630ded6f92c33aafe53e5eb6f9aaa0","male","yes","caucasian",6,41,94122
"17082f0ee365f49c736376f43de195","female","yes","asian-american",5,22,2116
"1021e2e696d72f31f3f77a5d896ad1","female","yes","hispanic",4,19,91351
"d33653653037928d24a9302f75dbe5","female","no","caucasian",7,26,32601
"e6ed06c8d6d8117ec2c033708b3a1a","male","no","other",7,33,2128
"8536d556614c789d537692aadd6f59","male","yes","caucasian",6,48,29461
"44513b44c63dc4aa99e79ce97a6533","male","no","african-american",6,37,27106
"265cbe2607c0835f9f541dedcde091","female","yes","caucasian",6,27,21075
"3f49f5a57e4cfbcb280fde36f365da","male","yes","caucasian",2,0,40508
"83e1392a51fdb45214b60e73e2a52b","male","yes","caucasian",1,37,10006
"83a85bf3b96840e474808f62293151","male","","caucasian",7,41,23176
"07d84d1adfc844a571e07e9a871ffd","male","yes","caucasian",4,57,90807
"64760b7171adfbd3eae5813336f63a","male","yes","caucasian",3,21,55116
"d2e3806ee0a49a0d66605f8562d5db","male","no","hispanic",6,35,48912
"2240428d6d0eb27df9d3429538d22a","female","yes","caucasian",4,54,29708
"e7fc043b648c2efd56aa1ede0891db","female","","caucasian",4,43,75020
"b6cfe0c11d743c9bfbeda6da8960a9","male","no","other",4,46,110221
"44cf79946adfc715c70d993b766c7c","male","yes","caucasian",6,48,10901
"280ff2bd5e2bfb894bcb1a654e2419","female","yes","asian-american",5,31,60091
"ccf76b2b4a136d68f3674246a78d7f","female","yes","caucasian",5,45,44120
"234aa3bbf60d3de92d950a6f7d4961","male","yes","caucasian",6,59,2421
"061231b8eef72c29f154f1ce107985","female","yes","african-american",7,59,6360
"5669a488910483a58c96b4bfd7eab8","female","yes","other",7,0,73116
"c18ea07a235108f35dcf2b3a8b90c3","male","yes","caucasian",4,39,61920
"b24055b91401c6817e7d378675d483","female","yes","african-american",5,34,11234
"61926f015bcab1f0323edeaff933a1","female","yes","caucasian",7,17,10000
"655bb3fb0da23a6512ea9050b36561","male","no","asian-american",6,25,0
"610652cd747a6f3fb9d3d12141f714","male","yes","caucasian",2,28,10017
"44986cab00b6cd07483b006218c139","male","yes","caucasian",6,37,94107
"323f0ba4d9bc0af75a5414a0483d0d","female","yes","caucasian",7,24,60647
"7c5806f09f5657f28fae7622abc34d","male","yes","caucasian",4,32,11772
"a12f43ceafa2f8670fa436893dc020","male","yes","caucasian",5,42,24060
"d3ca2a82294640473067af8475e247","male","yes","caucasian",6,47,60618
"4649558b4fe820c6a9cb0977a64a17","male","yes","caucasian",2,29,35213
"1cfe3f79195261409c7761a2c7c4be","female","yes","caucasian",7,43,64111
"be6128bff24e41015393081f752b15","female","yes","caucasian",3,0,93117
"bed9cad692ce92031f043d2ebadd5c","male","yes","caucasian",7,32,11226
"8db8c06615eb8a63ec95f69b0301d4","female","yes","caucasian",7,54,0
"8c244e6c57cf520b04226964817649","male","yes","",7,29,10027
"0f511b604c94a99ffcb0f84e5088d8","male","yes","caucasian",7,24,22576
"5338a5fc8d123554965c2a33dd604d","female","yes","hispanic",4,23,38655
"162fe83da8fc756e9210d8b70ebe88","female","yes","caucasian",6,25,94040
"90e82ce4bac83b89f37b4724b8526f","male","no","caucasian",7,34,20036
"d542779005144334c007e60b441eba","female","no","african-american",7,32,10037
"4b25d65e945b0c006c41f71c2a7806","female","yes","caucasian",7,31,90036
"e8233f747f11c524162e057b6f31b4","male","yes","caucasian",6,43,92108
"7f1b2dd0920c61cf0c44fc2649a922","male","yes","caucasian",3,47,24551
"a0a03cf37dfd85f427dedb10f2ea65","male","yes","caucasian",6,56,60616
